location;date;new_cases;media_movel
Brazil;01/03/2020;1;
Brazil;02/03/2020;0;
Brazil;03/03/2020;0;
Brazil;04/03/2020;0;
Brazil;05/03/2020;1;
Brazil;06/03/2020;5;
Brazil;07/03/2020;5;1,714285714
Brazil;08/03/2020;0;1,571428571
Brazil;09/03/2020;12;3,285714286
Brazil;10/03/2020;0;3,285714286
Brazil;11/03/2020;9;4,571428571
Brazil;12/03/2020;18;7
Brazil;13/03/2020;25;9,857142857
Brazil;14/03/2020;21;12,14285714
Brazil;15/03/2020;23;15,42857143
Brazil;16/03/2020;79;25
Brazil;17/03/2020;34;29,85714286
Brazil;18/03/2020;57;36,71428571
Brazil;19/03/2020;137;53,71428571
Brazil;20/03/2020;193;77,71428571
Brazil;21/03/2020;283;115,1428571
Brazil;22/03/2020;224;143,8571429
Brazil;23/03/2020;418;192,2857143
Brazil;24/03/2020;345;236,7142857
Brazil;25/03/2020;310;272,8571429
Brazil;26/03/2020;232;286,4285714
Brazil;27/03/2020;482;327,7142857
Brazil;28/03/2020;502;359
Brazil;29/03/2020;487;396,5714286
Brazil;30/03/2020;352;387,1428571
Brazil;31/03/2020;323;384
Brazil;01/04/2020;1138;502,2857143
Brazil;02/04/2020;1119;629
Brazil;03/04/2020;1074;713,5714286
Brazil;04/04/2020;1146;805,5714286
Brazil;05/04/2020;1222;910,5714286
Brazil;06/04/2020;852;982
Brazil;07/04/2020;926;1068,142857
Brazil;08/04/2020;1661;1142,857143
Brazil;09/04/2020;2210;1298,714286
Brazil;10/04/2020;1930;1421
Brazil;11/04/2020;1781;1511,714286
Brazil;12/04/2020;1089;1492,714286
Brazil;13/04/2020;1442;1577
Brazil;14/04/2020;1261;1624,857143
Brazil;15/04/2020;1832;1649,285714
Brazil;16/04/2020;3058;1770,428571
Brazil;17/04/2020;2105;1795,428571
Brazil;18/04/2020;3257;2006,285714
Brazil;19/04/2020;2917;2267,428571
Brazil;20/04/2020;2055;2355
Brazil;21/04/2020;1927;2450,142857
Brazil;22/04/2020;2498;2545,285714
Brazil;23/04/2020;2678;2491
Brazil;24/04/2020;3735;2723,857143
Brazil;25/04/2020;3503;2759
Brazil;26/04/2020;5514;3130
Brazil;27/04/2020;3379;3319,142857
Brazil;28/04/2020;4613;3702,857143
Brazil;29/04/2020;5385;4115,285714
Brazil;30/04/2020;6276;4629,285714
Brazil;01/05/2020;7218;5126,857143
Brazil;02/05/2020;6209;5513,428571
Brazil;03/05/2020;4970;5435,714286
Brazil;04/05/2020;4588;5608,428571
Brazil;05/05/2020;6633;5897
Brazil;06/05/2020;6935;6118,428571
Brazil;07/05/2020;10503;6722,285714
Brazil;08/05/2020;9888;7103,714286
Brazil;09/05/2020;10222;7677
Brazil;10/05/2020;10611;8482,857143
Brazil;11/05/2020;6760;8793,142857
Brazil;12/05/2020;5632;8650,142857
Brazil;13/05/2020;9258;8982
Brazil;14/05/2020;11385;9108
Brazil;15/05/2020;13944;9687,428571
Brazil;16/05/2020;15305;10413,57143
Brazil;17/05/2020;14919;11029
Brazil;18/05/2020;7938;11197,28571
Brazil;19/05/2020;13140;12269,85714
Brazil;20/05/2020;17408;13434,14286
Brazil;21/05/2020;19951;14657,85714
Brazil;22/05/2020;18508;15309,85714
Brazil;23/05/2020;20803;16095,28571
Brazil;24/05/2020;16508;16322,28571
Brazil;25/05/2020;15813;17447,28571
Brazil;26/05/2020;11687;17239,71429
Brazil;27/05/2020;16324;17084,85714
Brazil;28/05/2020;20599;17177,42857
Brazil;29/05/2020;26417;18307,28571
Brazil;30/05/2020;26928;19182,28571
Brazil;31/05/2020;33274;21577,42857
Brazil;01/06/2020;16409;21662,57143
Brazil;02/06/2020;11598;21649,85714
Brazil;03/06/2020;28936;23451,57143
Brazil;04/06/2020;28633;24599,28571
Brazil;05/06/2020;30916;25242
Brazil;06/06/2020;30830;25799,42857
Brazil;07/06/2020;27075;24913,85714
Brazil;08/06/2020;18921;25272,71429
Brazil;09/06/2020;15654;25852,14286
Brazil;10/06/2020;32091;26302,85714
Brazil;11/06/2020;32913;26914,28571
Brazil;12/06/2020;30412;26842,28571
Brazil;13/06/2020;25982;26149,71429
Brazil;14/06/2020;21704;25382,42857
Brazil;15/06/2020;17110;25123,71429
Brazil;16/06/2020;20647;25837
Brazil;17/06/2020;34918;26240,85714
Brazil;18/06/2020;32188;26137,28571
Brazil;19/06/2020;22765;25044,85714
Brazil;20/06/2020;54771;29157,57143
Brazil;21/06/2020;34666;31009,28571
Brazil;22/06/2020;17459;31059,14286
Brazil;23/06/2020;21432;31171,28571
Brazil;24/06/2020;39436;31816,71429
Brazil;25/06/2020;42725;33322
Brazil;26/06/2020;39483;35710,28571
Brazil;27/06/2020;46860;34580,14286
Brazil;28/06/2020;38693;35155,42857
Brazil;29/06/2020;30476;37015
Brazil;30/06/2020;24052;37389,28571
Brazil;01/07/2020;33846;36590,71429
Brazil;02/07/2020;46712;37160,28571
Brazil;03/07/2020;48105;38392
Brazil;04/07/2020;42223;37729,57143
Brazil;05/07/2020;37923;37619,57143
Brazil;06/07/2020;26051;36987,42857
Brazil;07/07/2020;20229;36441,28571
Brazil;08/07/2020;45305;38078,28571
Brazil;09/07/2020;44571;37772,42857
Brazil;10/07/2020;42619;36988,71429
Brazil;11/07/2020;45048;37392,28571
Brazil;12/07/2020;39023;37549,42857
Brazil;13/07/2020;24831;37375,14286
Brazil;14/07/2020;20286;37383,28571
Brazil;15/07/2020;41857;36890,71429
Brazil;16/07/2020;39924;36226,85714
Brazil;17/07/2020;45403;36624,57143
Brazil;18/07/2020;34177;35071,57143
Brazil;19/07/2020;28532;33572,85714
Brazil;20/07/2020;23529;33386,85714
Brazil;21/07/2020;20257;33382,71429
Brazil;22/07/2020;41008;33261,42857
Brazil;23/07/2020;67860;37252,28571
Brazil;24/07/2020;59961;39332
Brazil;25/07/2020;55891;42434
Brazil;26/07/2020;51147;45664,71429
Brazil;27/07/2020;24578;45814,57143
Brazil;28/07/2020;23284;46247
Brazil;29/07/2020;40816;46219,57143
