Mês/Ano;UF;Município;Zona;Quantidade;%
Agosto - 2013;SP;ADAMANTINA;157;27.389;0,087
Agosto - 2013;SP;ADOLFO;64;3.490;0,011
Agosto - 2013;SP;AGUAÍ;334;24.062;0,077
Agosto - 2013;SP;ÁGUAS DA PRATA;122;6.364;0,020
Agosto - 2013;SP;ÁGUAS DE LINDÓIA;134;13.545;0,043
Agosto - 2013;SP;ÁGUAS DE SANTA BÁRBARA;205;4.987;0,016
Agosto - 2013;SP;ÁGUAS DE SÃO PEDRO;130;4.115;0,013
Agosto - 2013;SP;AGUDOS;7;28.135;0,090
Agosto - 2013;SP;ALAMBARI;52;4.001;0,013
Agosto - 2013;SP;ALFREDO MARCONDES;182;3.565;0,011
Agosto - 2013;SP;ALTAIR;80;3.124;0,010
Agosto - 2013;SP;ALTINÓPOLIS;202;13.038;0,042
Agosto - 2013;SP;ALTO ALEGRE;289;3.759;0,012
Agosto - 2013;SP;ALUMÍNIO;131;14.246;0,045
Agosto - 2013;SP;ÁLVARES FLORENCE;147;3.785;0,012
Agosto - 2013;SP;ÁLVARES MACHADO;182;17.376;0,055
Agosto - 2013;SP;ÁLVARO DE CARVALHO;47;3.136;0,010
Agosto - 2013;SP;ALVINLÂNDIA;47;2.685;0,009
Agosto - 2013;SP;AMERICANA;158;80.073;0,255
Agosto - 2013;SP;AMERICANA;384;88.532;0,282
Agosto - 2013;SP;AMÉRICO BRASILIENSE;239;26.301;0,084
Agosto - 2013;SP;AMÉRICO DE CAMPOS;138;4.646;0,015
Agosto - 2013;SP;AMPARO;8;51.616;0,165
Agosto - 2013;SP;ANALÂNDIA;245;5.204;0,017
Agosto - 2013;SP;ANDRADINA;9;43.435;0,138
Agosto - 2013;SP;ANGATUBA;215;17.120;0,055
Agosto - 2013;SP;ANHEMBI;41;5.631;0,018
Agosto - 2013;SP;ANHUMAS;182;3.247;0,010
Agosto - 2013;SP;APARECIDA;190;28.693;0,091
Agosto - 2013;SP;APARECIDA D'OESTE;232;3.923;0,013
Agosto - 2013;SP;APIAÍ;10;20.461;0,065
Agosto - 2013;SP;ARAÇARIGUAMA;131;14.370;0,046
Agosto - 2013;SP;ARAÇATUBA;11;67.024;0,214
Agosto - 2013;SP;ARAÇATUBA;299;71.770;0,229
Agosto - 2013;SP;ARAÇOIABA DA SERRA;294;20.524;0,065
Agosto - 2013;SP;ARAMINA;50;4.412;0,014
Agosto - 2013;SP;ARANDU;301;5.249;0,017
Agosto - 2013;SP;ARAPEÍ;18;2.408;0,008
Agosto - 2013;SP;ARARAQUARA;13;69.132;0,220
Agosto - 2013;SP;ARARAQUARA;385;89.001;0,284
Agosto - 2013;SP;ARARAS;14;92.123;0,294
Agosto - 2013;SP;ARCO-ÍRIS;143;2.006;0,006
Agosto - 2013;SP;AREALVA;300;6.217;0,020
Agosto - 2013;SP;AREIAS;105;3.349;0,011
Agosto - 2013;SP;AREIÓPOLIS;129;8.551;0,027
Agosto - 2013;SP;ARIRANHA;111;7.181;0,023
Agosto - 2013;SP;ARTUR NOGUEIRA;75;30.917;0,099
Agosto - 2013;SP;ARUJÁ;335;60.359;0,192
Agosto - 2013;SP;ASPÁSIA;152;1.768;0,006
Agosto - 2013;SP;ASSIS;15;37.441;0,119
Agosto - 2013;SP;ASSIS;290;31.504;0,100
